Concurso,Data,n1,n2,n3,n4,n5,n6
2933,28/10/2025,1,18,22,42,48,50
2932,25/10/2025,4,13,25,36,40,53
2931,23/10/2025,4,19,23,36,47,52
2930,21/10/2025,1,11,13,14,36,45
2929,18/10/2025,3,7,8,34,35,51
2928,16/10/2025,14,24,29,32,46,48
2927,14/10/2025,11,27,34,55,56,58
2926,11/10/2025,3,4,14,35,45,49
2925,09/10/2025,7,9,12,13,24,27
2924,07/10/2025,10,19,30,40,48,54
2923,04/10/2025,18,27,32,39,55,56
2922,02/10/2025,4,23,30,39,40,41
2921,30/09/2025,9,12,14,16,26,36
2920,27/09/2025,8,12,16,19,31,58
2919,25/09/2025,3,26,28,37,42,53
2918,23/09/2025,11,27,31,41,48,54
2917,20/09/2025,6,19,38,41,46,57
2916,18/09/2025,5,11,16,27,40,45
2915,16/09/2025,10,11,15,38,52,60
2914,13/09/2025,18,25,35,40,46,47
2913,11/09/2025,17,21,34,52,55,60
2912,09/09/2025,9,25,37,41,51,59
2911,06/09/2025,23,27,32,54,56,59
2910,04/09/2025,3,4,11,15,28,29
2909,02/09/2025,8,21,31,41,53,58
2908,30/08/2025,20,35,36,37,38,50
2907,28/08/2025,30,33,42,44,52,56
2906,26/08/2025,17,33,37,41,46,49
2905,23/08/2025,4,17,18,26,43,52
2904,21/08/2025,2,37,38,46,52,55
2903,19/08/2025,20,24,27,46,50,54
2902,16/08/2025,8,21,22,42,45,48
2901,14/08/2025,2,20,28,38,44,47
2900,12/08/2025,33,50,54,55,59,60
2899,09/08/2025,10,22,28,42,44,51
2898,07/08/2025,14,23,30,32,38,48
2897,05/08/2025,1,6,24,27,28,57
2896,02/08/2025,8,9,12,16,43,53
2895,31/07/2025,9,11,44,51,52,56
2894,29/07/2025,5,21,24,25,29,49
2893,26/07/2025,10,40,41,45,48,50
2892,24/07/2025,14,24,36,44,46,54
2891,22/07/2025,19,24,26,34,35,54
2890,19/07/2025,15,16,18,32,35,54
2889,17/07/2025,13,16,36,39,40,55
2888,15/07/2025,3,9,15,27,39,59
2887,12/07/2025,14,29,30,50,53,57
2886,10/07/2025,2,13,19,20,55,59
2885,08/07/2025,10,25,28,36,37,56
2884,05/07/2025,5,31,34,37,52,56
2883,03/07/2025,1,40,43,56,57,60
2882,01/07/2025,11,15,19,23,49,51
2881,28/06/2025,11,13,16,34,35,39
2880,26/06/2025,8,14,15,33,34,54
2879,24/06/2025,11,20,29,47,52,56
2878,21/06/2025,15,16,43,46,47,51
2877,17/06/2025,3,5,15,37,54,57
2876,14/06/2025,9,31,32,40,45,55
2875,12/06/2025,6,15,31,38,40,49
2874,10/06/2025,4,5,9,17,49,53
2873,07/06/2025,4,5,17,27,52,56
2872,05/06/2025,8,23,32,34,35,57
2871,03/06/2025,4,19,38,43,48,55
2870,31/05/2025,6,13,15,19,32,60
2869,29/05/2025,2,10,13,40,41,53
2868,27/05/2025,10,19,22,26,38,51
2867,24/05/2025,5,9,15,24,25,60
2866,22/05/2025,1,12,17,19,36,60
2865,20/05/2025,2,25,30,39,47,51
2864,17/05/2025,5,6,15,17,31,53
2863,15/05/2025,5,23,32,34,47,56
2862,13/05/2025,2,4,14,18,22,44
2861,10/05/2025,2,21,27,46,51,53
2860,08/05/2025,2,5,17,24,38,57
2859,06/05/2025,7,8,15,17,20,51
2858,03/05/2025,8,18,27,28,48,52
2857,29/04/2025,2,18,28,38,41,50
2856,26/04/2025,3,5,10,27,38,48
2855,24/04/2025,12,16,24,31,51,55
2854,19/04/2025,2,13,16,31,44,55
2853,15/04/2025,4,18,23,48,53,56
2852,12/04/2025,6,22,24,49,53,56
2851,10/04/2025,5,6,17,37,43,54
2850,08/04/2025,1,2,15,26,43,50
2849,05/04/2025,13,19,25,29,31,43
2848,03/04/2025,5,14,19,29,30,54
2847,01/04/2025,3,5,22,35,53,56
2846,29/03/2025,1,12,16,17,25,57
2845,27/03/2025,10,31,40,52,54,56
2844,25/03/2025,7,20,31,54,55,58
2843,22/03/2025,1,37,39,40,43,59
2842,20/03/2025,4,8,49,51,52,55
2841,18/03/2025,4,5,12,34,36,48
2840,15/03/2025,1,33,39,49,57,60
2839,13/03/2025,27,30,37,40,46,47
2838,11/03/2025,4,7,29,32,36,53
2837,08/03/2025,3,14,34,35,42,50
2836,06/03/2025,1,6,10,30,42,50
2835,01/03/2025,9,24,27,36,43,54
2834,27/02/2025,5,8,11,15,39,47
2833,25/02/2025,1,3,13,16,36,56
2832,22/02/2025,2,12,18,21,24,37
2831,20/02/2025,2,9,32,38,48,55
2830,18/02/2025,1,28,34,36,51,52
2829,15/02/2025,13,22,38,46,51,56
2828,13/02/2025,15,21,25,55,58,59
2827,11/02/2025,1,11,13,27,45,59
2826,08/02/2025,6,10,20,54,58,60
2825,06/02/2025,2,38,50,54,58,59
2824,04/02/2025,4,16,34,43,54,57
2823,01/02/2025,7,15,21,37,57,60
2822,30/01/2025,29,39,46,47,53,56
2821,28/01/2025,14,22,30,33,44,45
2820,25/01/2025,6,15,19,25,32,42
2819,23/01/2025,11,12,39,43,46,50
2818,21/01/2025,7,10,12,15,25,47
2817,18/01/2025,24,30,43,46,55,60
2816,16/01/2025,4,17,19,20,40,48
2815,14/01/2025,5,20,28,38,50,53
2814,11/01/2025,11,17,19,26,49,54
2813,09/01/2025,10,21,32,38,51,58
2812,07/01/2025,15,18,27,31,39,42
2811,04/01/2025,8,27,36,37,39,45
2810,31/12/2024,1,17,19,29,50,57
2809,17/12/2024,2,4,15,28,34,39
2808,14/12/2024,10,24,33,35,41,46
2807,12/12/2024,8,25,49,52,55,56
2806,10/12/2024,5,11,13,33,45,46
2805,07/12/2024,1,6,24,47,55,58
2804,05/12/2024,14,24,25,31,33,60
2803,03/12/2024,1,20,32,43,57,59
2802,30/11/2024,17,21,26,28,32,60
2801,28/11/2024,25,27,33,46,48,56
2800,26/11/2024,1,13,19,46,50,57
2799,23/11/2024,1,31,38,40,45,60
2798,19/11/2024,3,9,18,54,59,60
2797,16/11/2024,1,3,15,25,45,52
2796,13/11/2024,3,6,14,33,55,58
2795,09/11/2024,13,16,33,43,46,55
2794,07/11/2024,3,9,14,20,28,52
2793,05/11/2024,7,9,25,37,57,59
2792,01/11/2024,16,22,33,34,49,59
2791,29/10/2024,2,3,11,25,37,43
2790,26/10/2024,29,32,40,42,49,58
2789,24/10/2024,3,17,18,19,20,55
2788,22/10/2024,23,37,39,47,52,56
2787,19/10/2024,8,10,23,34,36,50
2786,16/10/2024,6,11,17,20,40,51
2785,11/10/2024,20,27,48,50,57,59
2784,08/10/2024,27,30,35,44,57,59
2783,05/10/2024,7,30,38,39,43,54
2782,03/10/2024,6,11,16,25,28,45
2781,01/10/2024,10,31,35,45,50,55
2780,28/09/2024,7,9,10,14,46,53
2779,26/09/2024,14,19,32,44,51,54
2778,24/09/2024,20,33,34,40,43,57
2777,21/09/2024,2,13,21,38,42,52
2776,19/09/2024,5,17,22,37,51,52
2775,17/09/2024,1,4,14,26,44,51
2774,14/09/2024,6,16,22,24,38,50
2773,12/09/2024,19,23,32,34,38,57
2772,10/09/2024,1,12,33,41,53,56
2771,06/09/2024,7,13,14,33,38,50
2770,03/09/2024,21,28,37,44,50,60
2769,31/08/2024,10,16,35,46,49,60
2768,29/08/2024,2,12,18,28,32,33
2767,27/08/2024,14,21,42,47,50,59
