Concurso,Data,n1,n2,n3,n4,n5,n6
2933,28/10/2025,1,18,22,42,48,50
2932,25/10/2025,4,13,25,36,40,53
2931,23/10/2025,4,19,23,36,47,52
2930,21/10/2025,1,11,13,14,36,45
2929,18/10/2025,3,7,8,34,35,51
2928,16/10/2025,14,24,29,32,46,48
2927,14/10/2025,11,27,34,55,56,58
2926,11/10/2025,3,4,14,35,45,49
2925,09/10/2025,7,9,12,13,24,27
2924,07/10/2025,10,19,30,40,48,54
2923,04/10/2025,18,27,32,39,55,56
2922,02/10/2025,4,23,30,39,40,41
2921,30/09/2025,9,12,14,16,26,36
2920,27/09/2025,8,12,16,19,31,58
2919,25/09/2025,3,26,28,37,42,53
2918,23/09/2025,11,27,31,41,48,54
2917,20/09/2025,6,19,38,41,46,57
2916,18/09/2025,5,11,16,27,40,45
2915,16/09/2025,10,11,15,38,52,60
2914,13/09/2025,18,25,35,40,46,47
2913,11/09/2025,17,21,34,52,55,60
2912,09/09/2025,9,25,37,41,51,59
2911,06/09/2025,23,27,32,54,56,59
2910,04/09/2025,3,4,11,15,28,29
2909,02/09/2025,8,21,31,41,53,58
2908,30/08/2025,20,35,36,37,38,50
2907,28/08/2025,30,33,42,44,52,56
2906,26/08/2025,17,33,37,41,46,49
2905,23/08/2025,4,17,18,26,43,52
2904,21/08/2025,2,37,38,46,52,55
2903,19/08/2025,20,24,27,46,50,54
2902,16/08/2025,8,21,22,42,45,48
2901,14/08/2025,2,20,28,38,44,47
2900,12/08/2025,33,50,54,55,59,60
2899,09/08/2025,10,22,28,42,44,51
2898,07/08/2025,14,23,30,32,38,48
2897,05/08/2025,1,6,24,27,28,57
2896,02/08/2025,8,9,12,16,43,53
2895,31/07/2025,9,11,44,51,52,56
2894,29/07/2025,5,21,24,25,29,49
2893,26/07/2025,10,40,41,45,48,50
2892,24/07/2025,14,24,36,44,46,54
2891,22/07/2025,19,24,26,34,35,54
2890,19/07/2025,15,16,18,32,35,54
2889,17/07/2025,13,16,36,39,40,55
2888,15/07/2025,3,9,15,27,39,59
2887,12/07/2025,14,29,30,50,53,57
2886,10/07/2025,2,13,19,20,55,59
2885,08/07/2025,10,25,28,36,37,56
2884,05/07/2025,5,31,34,37,52,56
2883,03/07/2025,1,40,43,56,57,60
2882,01/07/2025,11,15,19,23,49,51
